year,variable_x,variable_y,correlation
2005,clean_ratio,clean_ratio,1.0
2005,clean_ratio,green_rate,
2005,clean_ratio,emission_per_gdp,-0.5924330880116548
2005,green_rate,clean_ratio,
2005,green_rate,green_rate,
2005,green_rate,emission_per_gdp,
2005,emission_per_gdp,clean_ratio,-0.5924330880116548
2005,emission_per_gdp,green_rate,
2005,emission_per_gdp,emission_per_gdp,1.0
2006,clean_ratio,clean_ratio,1.0
2006,clean_ratio,green_rate,0.48399644569837347
2006,clean_ratio,emission_per_gdp,-0.646738862558203
2006,green_rate,clean_ratio,0.48399644569837347
2006,green_rate,green_rate,1.0
2006,green_rate,emission_per_gdp,-0.22134575023952038
2006,emission_per_gdp,clean_ratio,-0.646738862558203
2006,emission_per_gdp,green_rate,-0.22134575023952038
2006,emission_per_gdp,emission_per_gdp,1.0
2007,clean_ratio,clean_ratio,1.0
2007,clean_ratio,green_rate,0.3466522201604351
2007,clean_ratio,emission_per_gdp,-0.6542643719355631
2007,green_rate,clean_ratio,0.3466522201604351
2007,green_rate,green_rate,1.0
2007,green_rate,emission_per_gdp,-0.2540569613969819
2007,emission_per_gdp,clean_ratio,-0.6542643719355631
2007,emission_per_gdp,green_rate,-0.2540569613969819
2007,emission_per_gdp,emission_per_gdp,1.0
2008,clean_ratio,clean_ratio,1.0
2008,clean_ratio,green_rate,0.27793263132664087
2008,clean_ratio,emission_per_gdp,-0.7038642416097869
2008,green_rate,clean_ratio,0.27793263132664087
2008,green_rate,green_rate,1.0
2008,green_rate,emission_per_gdp,-0.23026490271795705
2008,emission_per_gdp,clean_ratio,-0.7038642416097869
2008,emission_per_gdp,green_rate,-0.23026490271795705
2008,emission_per_gdp,emission_per_gdp,1.0
2009,clean_ratio,clean_ratio,1.0
2009,clean_ratio,green_rate,0.27978340969336013
2009,clean_ratio,emission_per_gdp,-0.7050990287001562
2009,green_rate,clean_ratio,0.27978340969336013
2009,green_rate,green_rate,1.0
2009,green_rate,emission_per_gdp,-0.3524729592950041
2009,emission_per_gdp,clean_ratio,-0.7050990287001562
